ID	Tweet	anger	anticipation	disgust	fear	joy	love	optimism	pessimism	sadness	surprise	trust
2018-Ar-00259	ظلينا نتكلم ساعات ساعات رتبت فيها نفسي وبكيت فيها مخاوفي مازلت أحس بشعور غريب وكأني رحلت من البيت للتو وهذا الشعور أقدر أتحمله	1	0	0	1	0	0	0	1	1	0	0
2018-Ar-02696	كل سنه وانتي بخير ياقلبي وكل سنه وانتي سعيده يارب 😍 ❤️ 🎈 🎈	0	0	0	0	1	1	1	0	0	0	0
2018-Ar-03596	البسطاء يمتلكون أرواح نادره جداتجدهم بمظهر متواضع لكنهم بمحتوى باهض وراقي ينعمون بهدوء النفس لأنهم يمتلكون كنزالقناعة #سنام_المجد_للدعم	0	0	0	0	0	1	1	0	0	0	0
2018-Ar-02999	مومعقول اللي قاعد يصير فيني هالايام يارب ماينتابني شعور الخوف والتوتر اللهم التركيز وأعلى الدرجاتت	0	0	0	1	0	0	0	0	0	0	0
2018-Ar-02716	انا اكثر شخص متناقض بداخلي حب وكره وامل وقنوط للحين ماعرفت نفسي	1	0	0	0	0	0	0	0	1	0	0
2018-Ar-04161	وانتي واسرتك الكريمة بخير و سرور اختي المحترمة 💜 🌹	0	0	0	0	1	1	0	0	0	0	0
2018-Ar-01931	واللي يغيظ ان اريكسن جاب 11 ووالكر جاب 9 وكوستا جاب 16 ومهزلة يعني عامل تريبل كابتن لاقل واحد جاب نقط 😍	1	0	0	0	0	0	0	0	0	1	0
2018-Ar-02388	النفاق الإلكتروني عندما تجد مواقع التواصل الإجتماعي مليئة بالأدعية والمساجد فارغة #حسرة	1	0	0	0	0	0	0	0	1	0	0
2018-Ar-03500	استياء شعبي	1	0	0	0	0	0	0	0	0	0	0
2018-Ar-00456	الشي الوحيد الي مخليني بهالحساب انو تقريبا محد يعرفني فيه وماني مستعدة اواجه حقيقة اني في حالة انكسار:(	0	0	0	0	0	0	0	1	1	0	0
2018-Ar-02080	ثانيه واحده بس كدا .. يعني افلام الرعب اللي طول عمري اتفرج عليهم عادي بالنسبالي وكفر دلهاب مرعوبه اتفرج 5 دقايق ع بعض ..	0	0	0	1	0	0	0	0	0	0	0
2018-Ar-01083	غلطة ياسر المسيليم طبيعية جدا ومتوقعة من لاعب اقدامه مرتجفة \n\nولكن \nكيف ضم الزوري المبتعد عن المباريات وتحجج بالابتعاد عشان يزحلق العويس؟	1	1	0	1	0	0	0	0	0	0	0
2018-Ar-01747	انا غاضبة ورائحة افواه الصائمين تزيد من غضبي اكثر #قرف	1	0	1	0	0	0	0	0	0	0	0
2018-Ar-02489	عبودي رافع ضغطي عندنا ولد جار يشبه عبودي ودي اتوطأ في بطنه وبطن عبودي	1	0	0	0	0	0	0	1	0	0	0
2018-Ar-03809	اعلان 500500 مبهج جداا بس ليه لميس	0	0	0	0	1	1	1	0	0	1	0
2018-Ar-02338	❗\n\nفي مصر :- احنا بنشتغل عشان نجيب فلوس نروح بيها الشغل !🐸✋\n\n❕ - يشعر بـالاستياء	1	0	1	0	0	0	0	1	0	0	0
